Brand Name,Industry,Descriptions
AlphaLion,Health,AlphaLion health supplement brand helping superhumans achieve their dream physique.
SnowOralCare,Beauty,SnowTeethWhitening is a brand that helps you achieve whiter teeth at home.
Olipop,Beverage,"Olipop is canned soda (12 oz) that uses alternative plant-based ingredients to mimic the tastes of traditional, classic sodas."
CVG,Fashion,"CVG is a socially conscious fitness apparel brand also offering fitness programming, a health and wellness podcast, and a community of badass supportive women."
AislingOrganics,Beauty,AislingOrganics is a line of high-performance + organic makeup.
DoeLashes,Beauty,DoeLashes is a cosmetic brand selling lashes.
Brewsy,Beverage,Brewsy is  DTC brand selling at home wine-kits.
DeathWishCoffee,Beverage,DeathWishCoffee is a DTC brand selling coffee to high Perfromers.
Duradry,Health,Duradry is a DTC brand is a brand selling deodarants to people who suffer with hyperhydrosis.
Blume,Beauty,"Blume is a natural beauty brand that provides clean skin, body, and period care that actually works "
TrulyBeauty,Beauty,TrulyBeauty is a high performance vegan make up brand.
Topicals,Beauty,Topicals is a beauty brand providing solutions for hyperpigmentation.
ThreeShipsBeauty,Beauty,ThreeShipsBeauty is an award-winning clean skincare made with 100% natural ingredients
MissA,Beauty,MissA sells affordable cruelty-free makeup.
Hydrant,Health,Hydrant hydrates you faster and more efficiently than water alone.
Brightland,Food,Extra virgin olive oils and vinegars are consciously made in California.
DBLJewelry,Accessories,"DBL Jewelry is where you'll find the perfect necklace, earrings, rings, anklets, and bracelets that match your aesthetic and connect with your soul."
Figs,Fashion,Figs sells comfortable designer scrubs and medical apparel that's 100% awesome.
FlybyJing,Food,"FlyByJing is 100% all natural Sichuan chili sauce, proudly crafted in Chengdu."
Evereden,Children,"Beautifully formulated body washes, shampoos, sunscreens and diaper creams that are effective and safe for babies' fragile skin."
VerbEnergy,Food,Snack bars that are Energizing & jitter-free. 
Smalls ,Pets,"Smalls is a high-quality, on-demand cat food company that delivers human-grade wet and freeze-dried food to your door."
Fable,Pets,The Honest Kitchen human-grade dog food.
Kopari,Beauty,coconut beauty products.
Obvi,Health,"Obvi Super Collagen Protein is designed to bring back youth to your hair, skin, nails and joints"
PerfectKeto,Food,Perfect KETO is a non-GMO keto supplement that helps our body enter ketosis
BijouCandles,Lifestyle,"Pop Culture Candles that look good, smell good, and remind you of your faves."
FreedomRaveWear,Fashion,"FreddomRaveWear is a new breed of sustainable clothing company, where all styles are created in-house"
Katfko,Fashion,Kaftko sells gender fluid loungewear.
Waterboy,Beverage,All natural hydration drink to get you from 0 to 100 real quick!
Oodie,Fashion,oversized blanket hoodie
Matchabar,Beverage,Ceremonial Grade Matcha Green Tea Powder
Clare,Lifestyle,Clare Skin Cream is a cream that contains active ingredients
RipleyandRue,Pets,dog gear for badass people whose dogs are their ride or die
Snif,Lifestyle,Luxury scented candles.
SplendidSpoon,Food,"ready-to-eat and nutrient-dense plant-based smoothies, soups, grain bowls, and noodles nationwide."